Species,Weight,Length,Height,Width,Days,Gender
Bream,242.0,30.0,11.52,2.14085609781724,44.95071777553685,0
Bream,290.0,31.2,12.48,3.3600024606052177,54.65417926653347,0
Bream,340.0,31.1,12.3778,4.201341124302099,25.64088664431453,0
Bream,363.0,33.5,12.73,4.256410278491851,98.5472053468517,0
Bream,430.0,34.0,12.444,3.3654654863566273,22.916052937286935,0
Bream,450.0,34.7,13.6024,5.389669407014306,81.49738779871065,0
Bream,500.0,34.5,14.1795,5.589522922770386,55.441417632694076,0
Bream,390.0,35.0,12.67,4.188867843653629,65.42153250980863,0
Bream,450.0,35.1,14.0049,2.992576770382249,39.20643644930603,0
Bream,500.0,36.2,14.2266,4.7330805255851045,10.198711859691622,0
Bream,475.0,36.2,14.2628,5.4464506570582625,55.23187628978218,0
Bream,500.0,36.2,14.3714,5.264859035553377,56.72424836157847,0
Bream,500.0,36.4,13.7592,4.600548292012247,37.283843179712136,0
Bream,340.0,37.3,13.9129,3.198733391719868,31.788011807131564,0
Bream,600.0,37.2,14.9544,4.073381082498569,80.82588985198232,0
Bream,600.0,37.2,15.438,5.842318922387708,84.59961535793212,0
Bream,700.0,38.3,14.8604,5.667701477155823,51.97418073923742,1
Bream,700.0,38.5,14.938,3.917508652558333,27.40663077266926,1
Bream,610.0,38.6,15.633,4.867824377695564,31.814739184961294,0
Bream,650.0,38.7,14.4738,5.040086139388283,91.30024665632715,0
Bream,575.0,39.5,15.1285,4.3709834769025075,27.65580308920552,0
Bream,685.0,39.2,15.9936,4.3315145173742735,23.76436573493475,1
Bream,620.0,39.7,15.5227,3.8656585243359682,14.598354513198604,0
Bream,680.0,40.6,15.4686,4.538425056279818,66.57853515440608,1
Bream,700.0,40.5,16.2405,4.4072316082560725,10.000600834461544,1
Bream,725.0,40.9,16.36,5.140653609638165,40.83073364223627,1
Bream,720.0,40.6,16.3618,6.3582822880422665,27.5719488738578,1
Bream,714.0,41.5,16.517,5.342936305206946,24.93819385066614,1
Bream,850.0,41.6,16.8896,5.119606355881167,21.16364775993754,1
Bream,1000.0,42.6,18.957,5.510710403269631,85.14662591915766,1
Bream,920.0,44.1,18.0369,4.927389544059752,28.61818916784957,1
Bream,955.0,44.0,18.084,5.260035941712348,27.20937541551824,1
Bream,925.0,45.3,18.7542,6.988872463402437,18.620955188598394,1
Bream,975.0,45.9,18.6354,6.838428114943067,58.44569709832991,1
Bream,950.0,46.5,17.6235,5.531531798869082,39.07113387760879,1
Roach,40.0,16.2,4.1472,0.6550397138275446,11.421984744751638,0
Roach,69.0,20.3,5.2983,0.9478018460802276,28.157699288517406,0
Roach,78.0,21.2,5.5756,3.089267329392784,28.4773821148093,0
Roach,87.0,22.2,5.6166,1.5343260454078207,54.594299879006854,0
Roach,120.0,22.2,6.216,2.6921128191702937,30.86195707907084,0
Roach,0.0,22.8,6.4752,2.552637940245539,48.157989246216374,0
Roach,110.0,23.1,6.1677,1.7544292168921984,65.0384572871387,0
Roach,120.0,23.7,6.1146,1.6724760614678795,19.4912755641329,0
Roach,150.0,24.7,5.8045,3.31919981283436,46.21388466036435,0
Roach,145.0,24.3,6.6339,3.7595924335610396,14.91609318173423,0
Roach,160.0,25.3,7.0334,2.0554454536249445,69.19328723301643,0
Roach,140.0,25.0,6.55,2.7347254069777307,63.876030116938416,0
Roach,160.0,25.0,6.4,4.22119321206997,51.20009139639122,0
Roach,169.0,27.2,7.5344,2.901299152432355,18.789495426919114,0
Roach,161.0,26.7,6.9153,2.3989866097865042,30.989602388316023,0
Roach,200.0,26.8,7.3968,2.260913231141843,30.951666014985435,0
Roach,180.0,27.9,7.0866,3.1664309486382436,91.79458868613277,0
Roach,290.0,29.2,8.8768,3.4003126645272364,83.16361444686223,0
Roach,272.0,30.6,8.568,4.02014187095383,96.13249166902442,0
Roach,390.0,35.0,9.485,3.584943552743858,87.08201521610549,0
Whitefish,270.0,28.7,8.3804,3.1815117871296095,91.22004947733063,0
Whitefish,270.0,29.3,8.1454,3.582142727787901,15.471280659675202,0
Whitefish,306.0,30.8,8.778,4.320043065964048,71.64800124831002,0
Whitefish,540.0,34.0,10.744,5.912026743760892,53.94102572170708,0
Whitefish,800.0,39.6,11.7612,5.021037638678642,98.51645469463071,1
Whitefish,1000.0,43.5,12.354,5.535335022442203,38.41358031956496,1
Parkki,55.0,16.5,6.8475,2.070395280330837,97.74629497046149,0
Parkki,60.0,17.4,6.5772,0.8892291576053148,78.11984923597443,0
Parkki,90.0,19.8,7.4052,2.751449712247058,48.331464405693936,0
Parkki,120.0,21.3,8.3922,1.340216176500804,76.12859269438671,0
Parkki,150.0,22.4,8.8928,1.9196477709560225,23.78968159975975,0
Parkki,140.0,23.2,8.5376,3.1932855093531165,50.45243278515881,0
Parkki,170.0,23.2,9.396,2.0524164961250317,92.48623775033342,0
Parkki,145.0,24.1,9.7364,2.62456717923102,15.886795224986642,0
Parkki,200.0,25.8,10.3458,1.870780114373063,45.21323350295845,0
Parkki,273.0,28.0,11.088,3.0714982038119834,91.08685620888873,0
Parkki,300.0,29.0,11.368,3.776511485331147,40.603518491772064,0
Perch,5.9,8.8,2.112,1.1810056223772076,41.47046301992612,0
Perch,32.0,14.7,3.528,1.8133759443450252,12.249813293908804,0
Perch,40.0,16.0,3.824,2.064142925662801,76.05327414608092,0
Perch,51.5,17.2,4.5924,2.3322145089608806,18.16332089039188,0
Perch,70.0,18.5,4.588,2.6350856858927414,31.326713904779574,0
Perch,100.0,19.2,5.2224,2.986355159271982,27.450381113994602,0
Perch,78.0,19.4,5.1992,2.551753344655653,43.67321595876071,0
Perch,80.0,20.2,5.6358,2.585478045916277,94.99352687569936,0
Perch,85.0,20.8,5.1376,1.7266781268603801,87.15720026991737,0
Perch,85.0,21.0,5.082,3.2102679268739602,77.62275643190539,0
Perch,110.0,22.5,5.6925,3.6797457655304036,49.94238459157995,0
Perch,115.0,22.5,5.9175,3.5243671996463006,13.963908859193818,0
Perch,125.0,22.5,5.6925,4.123845298622607,45.083264441156594,0
Perch,130.0,22.8,6.384,2.794816092827923,43.62650037881497,0
Perch,120.0,23.5,6.11,3.099735772027252,42.633103693311014,0
Perch,120.0,23.5,5.64,2.6794313598526664,25.613702461966334,0
Perch,130.0,23.5,6.11,2.9155014097967253,39.932122652589584,0
Perch,135.0,23.5,5.875,1.711465788224039,65.22150165578486,0
Perch,110.0,23.5,5.5225,2.477782529415082,58.74274357439033,0
Perch,130.0,24.0,5.856,3.6609944099119947,63.128676460291715,0
Perch,150.0,24.0,6.792,2.044784291569351,46.41511672531135,0
Perch,145.0,24.2,5.9532,3.2743305709743624,82.31724501709144,0
Perch,150.0,24.5,5.2185,3.4384483256331784,28.609743203274313,0
Perch,170.0,25.0,6.275,2.3451070972175074,66.19134554886855,0
Perch,225.0,25.5,7.293,2.3855609248926166,96.78587946759059,0
Perch,145.0,25.5,6.375,2.4650757635869294,64.6857471933225,0
Perch,188.0,26.2,6.7334,2.5248279315311875,47.405271518105906,0
Perch,180.0,26.5,6.4395,2.025720253274301,83.70535034164922,0
Perch,197.0,27.0,6.561,4.074636959796154,17.40379559109928,0
Perch,218.0,28.0,7.168,3.3151338549757856,33.7889148929995,0
Perch,300.0,28.7,8.323,5.076807381593469,15.090175390252025,0
Perch,260.0,28.9,7.1672,4.736217978376377,64.25532692711765,0
Perch,265.0,28.9,7.0516,4.691176041809602,63.81052706877339,0
Perch,250.0,28.9,7.2828,3.5390694478384224,50.055202452782765,0
Perch,250.0,29.4,7.8204,2.498310644864233,61.5326316016133,0
Perch,300.0,30.1,7.5852,4.640831149587858,45.18887196255915,0
Perch,320.0,31.6,7.6156,4.1626992474354,56.91386966540783,0
Perch,514.0,34.0,10.03,5.061551137854362,10.300227408655863,0
Perch,556.0,36.5,10.2565,4.822552151139569,28.00045254458965,0
Perch,840.0,37.3,11.4884,5.98417262993748,27.340173399056344,1
Perch,685.0,39.0,10.881,7.253502382085154,32.11830517408934,1
Perch,700.0,38.3,10.6091,6.971917729173406,37.71440224349036,1
Perch,700.0,39.4,10.835,6.582293151933371,53.63953630513194,1
Perch,690.0,39.3,10.5717,5.087002443640313,70.32877646890924,1
Perch,900.0,41.4,11.1366,6.118873905588248,30.638290284756454,1
Perch,650.0,41.4,11.1366,5.989387910691288,48.66053351146399,0
Perch,820.0,41.3,12.4313,7.149366690585051,16.588267470129097,1
Perch,850.0,42.3,11.9286,6.982896887566973,59.63679512912334,1
Perch,900.0,42.5,11.73,6.298910134050764,60.46423111888722,1
Perch,1015.0,42.4,12.3808,5.566919704531255,98.0521398414966,1
Perch,820.0,42.5,11.135,6.051518705652904,73.28274746826878,1
Perch,1100.0,44.6,12.8002,6.142507388994896,43.13185618111493,1
Perch,1000.0,45.2,11.9328,7.581293424682933,19.70609754668087,1
Perch,1100.0,45.5,12.5125,6.89626881274995,46.21558090996698,1
Perch,1000.0,46.0,12.604,6.523899384673359,22.107940623839326,1
Perch,1000.0,46.6,12.4888,5.8841738206363825,37.79349221563501,1
Pike,200.0,34.8,5.568,2.174237223430525,86.08680045032148,0
Pike,300.0,37.8,5.7078,3.681536240827998,42.14548478335056,0
Pike,300.0,38.8,5.9364,4.704343463699475,25.428575324260205,0
Pike,300.0,39.8,6.2884,2.6913422526144775,26.032966571028897,0
Pike,430.0,40.5,7.29,4.348542281869222,58.70260083789198,0
Pike,345.0,41.0,6.396,2.9374445817922514,44.56811131374649,0
Pike,456.0,45.5,7.28,4.783592255016763,75.78870929912878,0
Pike,510.0,45.5,6.825,4.196740289618994,55.0667435363761,0
Pike,540.0,45.8,7.786,5.032158721366617,30.689443100677817,0
Pike,500.0,48.0,6.96,4.283782892478521,21.833636989784452,0
Pike,567.0,48.7,7.792,3.3763642801684224,81.17876268866009,0
Pike,770.0,51.2,7.68,5.055730986156115,22.696106712227234,1
Pike,950.0,55.1,8.9262,5.236896632390015,99.0046791118349,1
Pike,1250.0,59.7,10.6863,6.334971906032844,90.21056977004922,1
Pike,1600.0,64.0,9.6,5.954289614510924,25.124348221708217,1
Pike,1550.0,64.0,9.6,6.011707527220236,66.35753769590588,1
Pike,1650.0,68.0,10.812,7.444942073997088,71.34611447455615,1
Smelt,6.7,10.8,1.7388,-0.2505733111186217,73.48720142852702,0
Smelt,7.5,11.6,1.972,0.08484548529557867,19.991275957591363,0
Smelt,7.0,11.6,1.7284,0.3886951550296689,48.87828994282638,0
Smelt,9.7,12.0,2.196,0.4568862520924717,53.39001041492583,0
Smelt,9.8,12.4,2.0832,-0.4227546830352289,81.67440704868996,0
Smelt,8.7,12.6,1.9782,0.7670633053214384,91.30437667384223,0
Smelt,10.0,13.1,2.2139,1.302603907811505,49.08139397996251,0
Smelt,9.9,13.1,2.2139,0.10174375190616325,63.295969002922135,0
Smelt,9.8,13.2,2.2044,1.135015670690267,89.68409445094566,0
Smelt,12.2,13.4,2.0904,1.5705312572343935,69.38233688915089,0
Smelt,13.4,13.5,2.43,1.0676965748436367,14.053050206836991,0
Smelt,12.2,13.8,2.277,0.642858046251769,79.84506314123047,0
Smelt,19.7,15.2,2.8728,0.9218368592191286,86.38748395407386,0
Smelt,19.9,16.2,2.9322,0.17905937373076597,25.129426875443244,0
